STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,MINUTE,NHS,RURorURB ,FUNCSYS,ROADOWNER,ROUTE,SPJUR,HARMEV,MANCOLL,RELJCT1,RELJCT2,TYPINT,WRKZONE,RELROAD,LGTCOND,WEATHER1,WEATHER2,WEATHER,SCHBUS,CF1,CF2,CF3,FATALS,Drunk Driver Involved,HOUR
1,0,0,1,1,16,3,6,5,0,2,5,2,4,0,35,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,5
1,0,0,1,1,16,3,6,40,0,1,4,1,3,0,59,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,15
1,0,1,2,2,17,3,7,20,1,1,3,1,3,0,8,0,0,2,2,0,1,2,10,0,10,0,0,0,0,1,0,20
1,0,0,2,2,17,3,7,30,0,1,4,1,3,0,12,6,0,2,3,0,1,1,1,0,1,0,0,0,0,1,0,15
1,0,0,1,1,17,3,7,56,0,1,5,2,4,0,42,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,1,7
1,0,0,2,2,17,3,7,56,1,1,3,1,2,0,35,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,8
1,0,0,1,1,18,3,1,0,1,2,3,1,2,0,34,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,7
1,0,0,6,6,18,3,1,25,0,1,4,1,3,0,12,6,0,2,2,0,1,1,1,0,1,0,0,0,0,1,0,10
1,0,0,1,1,18,3,1,20,0,2,4,1,3,0,35,0,0,1,1,0,4,1,10,0,10,0,20,0,0,1,0,16
1,0,0,1,1,20,3,3,41,0,1,5,2,4,0,1,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,15
1,0,0,1,1,21,3,4,40,1,2,3,1,2,0,32,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,8
1,0,0,1,1,21,3,4,15,0,1,6,2,4,0,38,0,0,1,1,0,4,1,1,0,1,0,0,0,0,1,0,10
1,0,0,2,2,21,3,4,40,0,1,4,1,3,0,12,2,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,14
